gPlusUserId,gPlusPlaceId,rating,unixReviewTime
100002460517064340398,100365639541523416633,5.0,1246154310
100002460517064340398,101130870726907537579,5.0,1364055389
100003840837471130074,100887731203541266259,4.0,1302881969
100003840837471130074,100998607338583184111,4.0,1325294864
100003840837471130074,102685426987872384597,5.0,1376791103
100003840837471130074,102812440369192328274,3.0,1302881892
100003840837471130074,103979912112536187350,4.0,1360122580
100003840837471130074,103984517065131464925,5.0,1302882094
100003840837471130074,104438335048915549887,4.0,1313439788
100003840837471130074,104650237020486549959,5.0,1302881427
100003840837471130074,105161497931238424543,3.0,1325294876
100003840837471130074,108965565670510081634,3.0,1305161273
100003840837471130074,109311307621925075804,4.0,1314648799
100003840837471130074,109464886480434924863,3.0,1305161251
100003840837471130074,109552619713519861278,5.0,1302819272
100003840837471130074,109868461768795122034,5.0,1381558158
100003840837471130074,110202037843931429970,4.0,1314302899
100003840837471130074,110621095385355177847,4.0,1302881922
100003840837471130074,111719454947844997818,1.0,1381558467
100003840837471130074,112056440199499067697,3.0,1302816423
100003840837471130074,112481315922444302561,4.0,1382486107
100003840837471130074,112610750235634830337,4.0,1302894439
100003840837471130074,112744828068612948224,4.0,1302882156
100003840837471130074,113290396185293876210,5.0,1302881432
100003840837471130074,113453916229866965026,1.0,1314650073
100003840837471130074,114236831589464986178,4.0,1302881877
100003840837471130074,114780673353448808763,4.0,1303188493
100003840837471130074,115104207305151193116,5.0,1302882028
100003840837471130074,115928110041324894892,2.0,1376790610
100003840837471130074,115935235307703258748,4.0,1302881062
100003840837471130074,116019957721980938113,3.0,1305235050
100003840837471130074,116714290900672170748,5.0,1302882358
100003840837471130074,116818894403561351330,4.0,1302881282
100003840837471130074,117261877263612920264,2.0,1314650221
100003840837471130074,118275306173296901779,3.0,1302818783
100006029944244477735,110390659113017293002,4.0,1379121428
100006742151940031092,111824474193384976453,5.0,1386186079
100008858224190919909,118212697902342945558,4.0,1369710626
100011536689227259888,107251888251400438909,5.0,1373761671
100023366950410484090,100142608812866958965,5.0,1339709884
100023366950410484090,100816254133968356657,5.0,1327639708
100023366950410484090,101438125462477443476,5.0,1327303397
100023366950410484090,101463907939472924211,5.0,1333763322
100023366950410484090,101667744935589967569,5.0,1314826349
100023366950410484090,101987040331041630515,5.0,1314163915
100023366950410484090,103300778801894197113,5.0,1318137918
100023366950410484090,103800270513063177406,5.0,1313123259
100023366950410484090,104358664826887058207,5.0,1337017301
100023366950410484090,105469584994130569082,5.0,1320361297
100023366950410484090,106432191545504919261,5.0,1387574061
100023366950410484090,106630613447511460768,5.0,1215638434
100023366950410484090,107034738814722654659,5.0,1318138206
100023366950410484090,108018876562235040888,5.0,1352876195
100023366950410484090,109064274167796540714,5.0,1334590298
100023366950410484090,109936079281387621062,5.0,1314826141
100023366950410484090,110169649800995403801,5.0,1214967798
100023366950410484090,110556649327109914070,5.0,1314163604
100023366950410484090,110557475507871359519,4.0,1342163668
100023366950410484090,110689526834674727973,5.0,1313119832
100023366950410484090,111062388082082925118,5.0,1343329057
100023366950410484090,111733590685500175680,5.0,1328808221
100023366950410484090,112461853707188021974,5.0,1324533425
100023366950410484090,112659569795107380642,5.0,1347429517
100023366950410484090,113527730083420254637,5.0,1316740649
100023366950410484090,113839287854265417302,5.0,1324533118
100023366950410484090,114222906986659056638,5.0,1377814099
100023366950410484090,114357608327537486566,1.0,1333762833
100023366950410484090,114360310794550290464,5.0,1296763338
100023366950410484090,114580492678295572984,5.0,1313175646
100023366950410484090,114712989868904581208,5.0,1314558117
100023366950410484090,116168428217066253896,5.0,1327303664
100023366950410484090,117327449600594645085,5.0,1314163519
100023366950410484090,118112680131092234968,5.0,1314164148
100023366950410484090,118181192846354376972,5.0,1324436694
100025655415646683792,105266860822521972290,5.0,1386379165
100031632275618346369,103556187968109229822,5.0,1339027916
100031632275618346369,111486070877019355138,4.0,1339035005
100038801356570551641,106851868302988822975,4.0,1360980791
100039713894403535523,100172561171171237289,4.0,1395350987
100039713894403535523,102801358720648558283,5.0,1392655590
100039713894403535523,102977343679790882256,4.0,1282780088
100039713894403535523,103044590596904575271,4.0,1360551353
100039713894403535523,103446535296154294889,4.0,1282780135
100039713894403535523,103810439080332439826,4.0,1282780063
100039713894403535523,107560767148016422828,1.0,1306626111
100039713894403535523,109804604427197734149,5.0,1307298347
100039713894403535523,110060377853952892544,5.0,1371778624
100039713894403535523,110884498041514814857,4.0,1369441783
100039713894403535523,111227349110817183570,1.0,1317393491
100039713894403535523,111570690964988712065,5.0,1304181035
100039713894403535523,112085452132597906507,3.0,1291503905
100039713894403535523,112291040768960885308,4.0,1360128217
100039713894403535523,112493911555476748349,3.0,1305730771
100039713894403535523,114236831589464986178,5.0,1282780305
100039713894403535523,114864924066021151382,3.0,1291503880
100039713894403535523,114940248939873327431,2.0,1372816799
100039713894403535523,116149207058454759964,5.0,1282780335
100039713894403535523,116255507977712119568,5.0,1303587806
100039713894403535523,117022742244079009624,5.0,1393005731
100039713894403535523,118344647499060424856,4.0,1394163720
100071656171098961099,104815926479707471762,5.0,1340244177
100072405688463733878,106576917294543882754,4.0,1293140945
100072405688463733878,107553737973050471240,3.0,1293140950
100072405688463733878,109795633070954975747,4.0,1305346858
100072405688463733878,110731947961893229948,4.0,1322623994
100072405688463733878,113222660416668899106,4.0,1293140972
100072405688463733878,113687984943448577097,4.0,1293140955
100072405688463733878,115478604373006026811,4.0,1293140957
100074979641998379209,105531524039406568853,4.0,1314378116
100074979641998379209,111024440879475758471,5.0,1336701420
100074979641998379209,111185905530948123634,4.0,1314377705
100074979641998379209,115178714531903627593,5.0,1332038579
100075904607680107656,117209145064687094216,5.0,1391023573
100092973924299003677,103176609022108103271,5.0,1344711985
100092973924299003677,118208954090927229780,5.0,1268593105
