gPlusPlaceId,gPlusUserId,rating,unixReviewTime
105894249799494761247,100002060409135193563,5.0,1360448580
100365639541523416633,100002460517064340398,5.0,1246154310
101130870726907537579,100002460517064340398,5.0,1364055389
116343726288101618746,100002623910816163819,4.0,1385074891
100887731203541266259,100003840837471130074,4.0,1302881969
100998607338583184111,100003840837471130074,4.0,1325294864
102685426987872384597,100003840837471130074,5.0,1376791103
102812440369192328274,100003840837471130074,3.0,1302881892
103979912112536187350,100003840837471130074,4.0,1360122580
103984517065131464925,100003840837471130074,5.0,1302882094
104438335048915549887,100003840837471130074,4.0,1313439788
104650237020486549959,100003840837471130074,5.0,1302881427
105161497931238424543,100003840837471130074,3.0,1325294876
108965565670510081634,100003840837471130074,3.0,1305161273
109311307621925075804,100003840837471130074,4.0,1314648799
109464886480434924863,100003840837471130074,3.0,1305161251
109552619713519861278,100003840837471130074,5.0,1302819272
109868461768795122034,100003840837471130074,5.0,1381558158
110202037843931429970,100003840837471130074,4.0,1314302899
110621095385355177847,100003840837471130074,4.0,1302881922
111719454947844997818,100003840837471130074,1.0,1381558467
112056440199499067697,100003840837471130074,3.0,1302816423
112481315922444302561,100003840837471130074,4.0,1382486107
112610750235634830337,100003840837471130074,4.0,1302894439
112744828068612948224,100003840837471130074,4.0,1302882156
113290396185293876210,100003840837471130074,5.0,1302881432
113453916229866965026,100003840837471130074,1.0,1314650073
114236831589464986178,100003840837471130074,4.0,1302881877
114780673353448808763,100003840837471130074,4.0,1303188493
115104207305151193116,100003840837471130074,5.0,1302882028
115928110041324894892,100003840837471130074,2.0,1376790610
115935235307703258748,100003840837471130074,4.0,1302881062
116019957721980938113,100003840837471130074,3.0,1305235050
116714290900672170748,100003840837471130074,5.0,1302882358
116818894403561351330,100003840837471130074,4.0,1302881282
117261877263612920264,100003840837471130074,2.0,1314650221
118275306173296901779,100003840837471130074,3.0,1302818783
112957891332212550686,100004322898922779289,5.0,1373756544
117501828048078959932,100004484735025227657,5.0,1370810295
109669202418907849188,100005012000913434803,5.0,1379584984
110390659113017293002,100006029944244477735,4.0,1379121428
102984876780577737339,100006337581599747068,5.0,1382134241
109968633494713569760,100006661146245021643,5.0,1384237613
113190104069561377155,100006661146245021643,5.0,1374701440
111824474193384976453,100006742151940031092,5.0,1386186079
106962778074918986266,100007828972954748676,2.0,1365396748
107038198808305358221,100007828972954748676,4.0,1376092232
118212697902342945558,100008858224190919909,4.0,1369710626
105337104817242617277,100008949019573681587,5.0,1385551005
101081451473252444402,100010226316651393712,4.0,1289936897
101230255591089418338,100010226316651393712,3.0,1289937949
102260552397714498656,100010226316651393712,2.0,1289936902
104702738253801736762,100010226316651393712,4.0,1289936925
106708158649111727233,100010226316651393712,4.0,1289936933
109271581025293158549,100010226316651393712,5.0,1289937930
109451341268260544199,100010226316651393712,4.0,1295917224
109842068090163523766,100010226316651393712,3.0,1289937934
112141672540190574702,100010226316651393712,4.0,1289936905
113074544890412497759,100010226316651393712,3.0,1289936935
113325364312310723103,100010226316651393712,5.0,1338501286
107361116399327585135,100010358534529693490,5.0,1342844473
106903960325218099183,100011182265926898080,5.0,1364334870
116676652826695749038,100011182265926898080,5.0,1283239033
111382388581836848927,100011455881824371122,3.0,1354827630
104511338475910001714,100011527252838980596,5.0,1380403443
107251888251400438909,100011536689227259888,5.0,1373761671
101812107313222854735,100012821728279970818,4.0,1282324415
115002006293647217613,100012821728279970818,4.0,1250739839
106801183357833482368,100014022445061062602,5.0,1377729328
116198992962755485623,100015129973706190478,5.0,1394202160
100696588743516124432,100015196426098117503,4.0,1394085722
108288649018175423879,100015818058548737460,5.0,1373579426
105695368229512506840,100017031299421602575,5.0,None
114741037733789120136,100018171148948901684,1.0,1313452698
115062523017767632628,100020242086790367421,5.0,1374438598
110453307442953359068,100021260944370219619,5.0,1392575531
104201731266010624155,100023124343024343600,5.0,None
100142608812866958965,100023366950410484090,5.0,1339709884
100816254133968356657,100023366950410484090,5.0,1327639708
101438125462477443476,100023366950410484090,5.0,1327303397
101463907939472924211,100023366950410484090,5.0,1333763322
101667744935589967569,100023366950410484090,5.0,1314826349
101987040331041630515,100023366950410484090,5.0,1314163915
103300778801894197113,100023366950410484090,5.0,1318137918
103800270513063177406,100023366950410484090,5.0,1313123259
104358664826887058207,100023366950410484090,5.0,1337017301
105469584994130569082,100023366950410484090,5.0,1320361297
106432191545504919261,100023366950410484090,5.0,1387574061
106630613447511460768,100023366950410484090,5.0,1215638434
107034738814722654659,100023366950410484090,5.0,1318138206
108018876562235040888,100023366950410484090,5.0,1352876195
109064274167796540714,100023366950410484090,5.0,1334590298
109936079281387621062,100023366950410484090,5.0,1314826141
110169649800995403801,100023366950410484090,5.0,1214967798
110556649327109914070,100023366950410484090,5.0,1314163604
110557475507871359519,100023366950410484090,4.0,1342163668
110689526834674727973,100023366950410484090,5.0,1313119832
111062388082082925118,100023366950410484090,5.0,1343329057
111733590685500175680,100023366950410484090,5.0,1328808221
112461853707188021974,100023366950410484090,5.0,1324533425
112659569795107380642,100023366950410484090,5.0,1347429517
113527730083420254637,100023366950410484090,5.0,1316740649
113839287854265417302,100023366950410484090,5.0,1324533118
114222906986659056638,100023366950410484090,5.0,1377814099
114357608327537486566,100023366950410484090,1.0,1333762833
114360310794550290464,100023366950410484090,5.0,1296763338
114580492678295572984,100023366950410484090,5.0,1313175646
114712989868904581208,100023366950410484090,5.0,1314558117
116168428217066253896,100023366950410484090,5.0,1327303664
117327449600594645085,100023366950410484090,5.0,1314163519
118112680131092234968,100023366950410484090,5.0,1314164148
118181192846354376972,100023366950410484090,5.0,1324436694
105266860822521972290,100025655415646683792,5.0,1386379165
113600687394360880822,100025786951706156960,5.0,1360811678
114728983736384627944,100026371713847422844,5.0,1312471031
110663866672238591869,100027082887650733738,2.0,1342144007
104671317837198796962,100027124361655582194,5.0,1361292463
101640739438634210396,100027917806851565057,3.0,1363299847
110510500163155420037,100027917806851565057,4.0,1357084996
113829290855934148212,100027917806851565057,3.0,1364339668
101588376292167508859,100028083547398189835,5.0,1393520336
114231944120572679967,100029500723464936046,5.0,1338438795
114919217598201144530,100030025500708066000,4.0,1391891476
109938125699432517740,100030405042180530507,4.0,1305203200
113600687394360880822,100030636739040622914,5.0,1343914602
103556187968109229822,100031632275618346369,5.0,1339027916
111486070877019355138,100031632275618346369,4.0,1339035005
109454445324405886931,100031673188936028658,4.0,1394886701
113180248436175194089,100033625224185675017,5.0,1388153720
100007442447388544690,100034036684149852952,5.0,1392590530
115928110041324894892,100034191121629228862,5.0,1376344741
111517970453286129324,100035973029145333542,5.0,1392332705
108330701587127315606,100038028327134628010,3.0,1365592306
112330351993242899059,100038028327134628010,5.0,1367927089
106851868302988822975,100038801356570551641,4.0,1360980791
100172561171171237289,100039713894403535523,4.0,1395350987
102801358720648558283,100039713894403535523,5.0,1392655590
102977343679790882256,100039713894403535523,4.0,1282780088
103044590596904575271,100039713894403535523,4.0,1360551353
